borrower_id,sector,pd,exposure,recovery_rate,lgd
1,Technology,0.030210094897914284,1666328.1019122407,0.3,0.7
2,Energy,0.06132287330538709,344168.42483469436,0.45,0.55
3,Retail,0.03280198404122447,3029860.143643479,0.35,0.65
4,Energy,0.06477616142481003,999587.3907393598,0.45,0.55
5,Energy,0.03946008393670816,713028.7202786916,0.45,0.55
6,Real Estate,0.03054188257401492,3433220.245676784,0.55,0.44999999999999996
7,Retail,0.05621527905677054,594607.2065428154,0.35,0.65
8,Retail,0.02365146707144534,294059.8813482229,0.35,0.65
9,Retail,0.03277254550361659,253563.82018351357,0.35,0.65
10,Energy,0.06750309835254024,2204497.0626501227,0.45,0.55
11,Technology,0.048024285877502244,334225.3173977221,0.3,0.7
12,Retail,0.04293751552493144,6953767.67376194,0.35,0.65
13,Energy,0.05159186060848997,149952.01053395,0.45,0.55
14,Real Estate,0.05242227609891599,6559706.166926494,0.55,0.44999999999999996
15,Technology,0.02172843086792258,1485136.8297242085,0.3,0.7
16,Real Estate,0.0464332272684958,1091743.9045385458,0.55,0.44999999999999996
17,Technology,0.036900738243081536,697376.6374685636,0.3,0.7
18,Energy,0.057618726471884,1792525.56642369,0.45,0.55
19,Banking,0.03374737131177546,1158185.7123028236,0.5,0.5
20,Technology,0.04158472571178216,3624771.7617633366,0.3,0.7
21,Real Estate,0.034560305152434516,1348128.1715169745,0.55,0.44999999999999996
22,Energy,0.04472101523512907,1397648.5306296428,0.45,0.55
23,Technology,0.012302350400665771,836003.2568276838,0.3,0.7
24,Banking,0.026485866469712065,1136034.6462741534,0.5,0.5
25,Banking,0.023245915041201312,1636060.4885326743,0.5,0.5
26,Retail,0.05550816731033198,217473.3530610223,0.35,0.65
27,Retail,0.034036600502083146,312329.6807231253,0.35,0.65
28,Real Estate,0.03585335082138029,2528821.8846818293,0.55,0.44999999999999996
29,Technology,0.015719667282113436,1426686.8673226621,0.3,0.7
30,Technology,0.04046042526869889,1000506.2337761371,0.3,0.7
31,Retail,0.044728722532650436,1224978.6007898368,0.35,0.65
32,Technology,0.01404490704491161,1702454.6942786956,0.3,0.7
33,Technology,0.013364272244599898,700983.984908356,0.3,0.7
34,Banking,0.031029073943773598,552216.3984406695,0.5,0.5
35,Retail,0.022910520254567742,1462774.0938078202,0.35,0.65
36,Energy,0.06109300296451782,452085.7812727339,0.45,0.55
37,Retail,0.048249689086259845,1808942.0972554039,0.35,0.65
38,Energy,0.02406743903209499,219129.11379026595,0.45,0.55
39,Banking,0.012545131422555757,3365730.675548547,0.5,0.5
40,Real Estate,0.07933197892505878,1929164.3395230523,0.55,0.44999999999999996
41,Technology,0.024970831830244813,1553513.5566747824,0.3,0.7
42,Banking,0.021119264412006726,3212920.787184541,0.5,0.5
43,Technology,0.042511982690300106,6359589.851395847,0.3,0.7
44,Real Estate,0.07736242886919294,3316332.5112632974,0.55,0.44999999999999996
45,Real Estate,0.07930005319114355,190827.6166106608,0.55,0.44999999999999996
46,Banking,0.032601345557768245,334510.32775122457,0.5,0.5
47,Real Estate,0.04881297927654579,643824.4806111511,0.55,0.44999999999999996
48,Energy,0.02417503583493344,1234394.4084025426,0.45,0.55
49,Real Estate,0.06885734579637184,2018083.8306183598,0.55,0.44999999999999996
50,Technology,0.0323361699894322,582017.7280673805,0.3,0.7
51,Technology,0.02696888036987905,1449554.4110958294,0.3,0.7
52,Technology,0.04625417540378944,565020.3728650215,0.3,0.7
53,Technology,0.014447899292246054,652445.0480000594,0.3,0.7
54,Energy,0.04463125521454296,294589.7245727752,0.45,0.55
55,Retail,0.02045414579069676,477713.64068467583,0.35,0.65
56,Banking,0.024059819259823787,311238.69175296667,0.5,0.5
57,Technology,0.012252131027273494,453217.19422960555,0.3,0.7
58,Real Estate,0.035940895813403595,3449161.77806593,0.55,0.44999999999999996
59,Technology,0.014701049871084195,465376.07036049117,0.3,0.7
60,Real Estate,0.06246051510580318,16724446.426025296,0.55,0.44999999999999996
61,Real Estate,0.06730224396327117,1969554.4367235037,0.55,0.44999999999999996
62,Technology,0.03333475060388639,1446758.5420116193,0.3,0.7
63,Energy,0.0681086274237271,509732.9396575123,0.45,0.55
64,Real Estate,0.0487435289761852,2422498.199264201,0.55,0.44999999999999996
